序号,传输方向,时间标识,ID(HEX),帧格式,帧类型,数据长度,数据(HEX),
1167,接收,350.7285,00000102 H,标准帧,数据帧,8,14 CA 33 28 9C AB B2 90 ,
1168,接收,350.7288,00000102 H,标准帧,数据帧,8,18 CA AF 2A 0C A7 F2 B1 ,
1169,接收,350.7290,00000102 H,标准帧,数据帧,8,1C CA 8B 2B 1C A7 32 8A ,
1170,接收,350.8182,00000020 H,标准帧,数据帧,1,F8 ,
1171,接收,350.8250,00000100 H,标准帧,数据帧,8,00 00 4C 01 9C D0 33 3A ,
1172,接收,350.8253,00000100 H,标准帧,数据帧,8,04 CD 37 34 6C D0 F3 2E ,
1173,接收,350.8255,00000100 H,标准帧,数据帧,8,08 CD 33 32 FC CD B3 38 ,
1174,接收,350.8257,00000100 H,标准帧,数据帧,8,0C CC BB 32 3C D2 B3 32 ,
1175,接收,350.8260,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 3C A7 F2 A8 ,
1176,接收,350.8262,00000100 H,标准帧,数据帧,8,14 CA 8B 28 0C A9 32 9E ,
1177,接收,350.8264,00000100 H,标准帧,数据帧,8,18 CA B7 2A AC AC F2 64 ,
1178,接收,350.8266,00000100 H,标准帧,数据帧,8,1C CA 9B 28 AC AB B2 8B ,
1179,接收,350.8269,00000101 H,标准帧,数据帧,8,00 00 50 01 5C CC F3 40 ,
1180,接收,350.8271,00000101 H,标准帧,数据帧,8,04 CC C7 34 3C CE B3 49 ,
1181,接收,350.8273,00000101 H,标准帧,数据帧,8,08 CC 83 34 CC D0 B3 2B ,
1182,接收,350.8276,00000101 H,标准帧,数据帧,8,0C CD 1F 31 CC CD 33 3C ,
1183,接收,350.8278,00000101 H,标准帧,数据帧,8,10 CA 5F 25 7C A6 F2 BA ,
1184,接收,350.8280,00000101 H,标准帧,数据帧,8,14 CA 8F 2A BC AC B2 A8 ,
1185,接收,350.8283,00000101 H,标准帧,数据帧,8,18 CA B3 2B 2C AB 72 94 ,
1186,接收,350.8285,00000101 H,标准帧,数据帧,8,1C CA 8B 26 EC AC 72 91 ,
1187,接收,350.8287,00000102 H,标准帧,数据帧,8,00 00 48 01 20 05 00 13 ,
1188,接收,350.8290,00000102 H,标准帧,数据帧,8,04 CC C3 32 7C CE F3 49 ,
1189,接收,350.8292,00000102 H,标准帧,数据帧,8,08 CC 93 33 1C CC F3 34 ,
1190,接收,350.8294,00000102 H,标准帧,数据帧,8,0C CD 17 33 6C CA F3 2F ,
1191,接收,350.8296,00000102 H,标准帧,数据帧,8,10 CA 63 29 AC AB 32 94 ,
1192,接收,350.8299,00000102 H,标准帧,数据帧,8,14 CA 2F 28 BC AC 32 90 ,
1193,接收,350.8301,00000102 H,标准帧,数据帧,8,18 CA AB 29 FC A7 F2 B0 ,
1194,接收,350.8303,00000102 H,标准帧,数据帧,8,1C CA 93 2B 1C A6 F2 89 ,
1195,接收,350.9195,00000020 H,标准帧,数据帧,1,F8 ,
1196,接收,350.9264,00000100 H,标准帧,数据帧,8,00 00 48 01 9C D0 73 38 ,
1197,接收,350.9266,00000100 H,标准帧,数据帧,8,04 CD 3F 34 7C D1 33 2E ,
1198,接收,350.9268,00000100 H,标准帧,数据帧,8,08 CD 37 33 0C CD B3 39 ,
1199,接收,350.9271,00000100 H,标准帧,数据帧,8,0C CC BF 32 7C D2 B3 35 ,
1200,接收,350.9273,00000100 H,标准帧,数据帧,8,10 C9 E3 2A 3C A7 72 A6 ,
1201,接收,350.9275,00000100 H,标准帧,数据帧,8,14 CA 83 27 FC A9 32 9E ,
1202,接收,350.9278,00000100 H,标准帧,数据帧,8,18 CA BF 2A AC AC 32 66 ,
1203,接收,350.9280,00000100 H,标准帧,数据帧,8,1C CA 93 28 BC AB F2 87 ,
1204,接收,350.9282,00000101 H,标准帧,数据帧,8,00 00 50 01 6C CD 33 3C ,
1205,接收,350.9285,00000101 H,标准帧,数据帧,8,04 CC C3 34 2C CE F3 4A ,
1206,接收,350.9287,00000101 H,标准帧,数据帧,8,08 CC 8B 34 7C CF 73 2A ,
1207,接收,350.9289,00000101 H,标准帧,数据帧,8,0C CD 27 32 0C CC F3 39 ,
1208,接收,350.9292,00000101 H,标准帧,数据帧,8,10 CA 63 25 7C A5 72 B7 ,
1209,接收,350.9294,00000101 H,标准帧,数据帧,8,14 CA 87 2A BC AD 72 A9 ,
1210,接收,350.9296,00000101 H,标准帧,数据帧,8,18 CA BB 2B 2C AB 72 94 ,
1211,接收,350.9298,00000101 H,标准帧,数据帧,8,1C CA 8B 27 3C AC B2 91 ,
1212,接收,350.9301,00000102 H,标准帧,数据帧,8,00 00 48 01 30 05 40 14 ,
1213,接收,350.9303,00000102 H,标准帧,数据帧,8,04 CC CF 32 6C CE 33 46 ,
1214,接收,350.9305,00000102 H,标准帧,数据帧,8,08 CC 8F 33 4C CD B3 36 ,
1215,接收,350.9308,00000102 H,标准帧,数据帧,8,0C CD 17 33 4C CA F3 2F ,
1216,接收,350.9310,00000102 H,标准帧,数据帧,8,10 CA 5F 29 8C AB 32 93 ,
1217,接收,350.9312,00000102 H,标准帧,数据帧,8,14 CA 2F 28 BC AB 72 90 ,
1218,接收,350.9315,00000102 H,标准帧,数据帧,8,18 CA B7 29 FC A7 F2 AE ,
1219,接收,350.9317,00000102 H,标准帧,数据帧,8,1C CA 93 2A EC A6 F2 8B ,
1220,接收,351.0209,00000020 H,标准帧,数据帧,1,F8 ,
